# Wavelength	Flux_normalized	Order
3817.95000000 0.60800104 5
3817.98000000 0.55152180 5
3818.01000000 0.48381543 5
3818.04000000 0.45464917 5
3818.07000000 0.46818137 5
3818.10000000 0.44627231 5
3818.13000000 0.38200089 5
3818.16000000 0.39163699 5
3818.19000000 0.44418438 5
3818.22000000 0.49462974 5
3818.25000000 0.54311056 5
3818.28000000 0.52414803 5
3818.31000000 0.52394265 5
3818.34000000 0.51001857 5
3818.37000000 0.46151918 5
3818.40000000 0.39966829 5
3818.43000000 0.41887882 5
3818.46000000 0.39782095 5
3818.49000000 0.37587329 5
3818.52000000 0.33747586 5
3818.55000000 0.28013708 5
3818.58000000 0.24957328 5
3818.61000000 0.25467829 5
3818.64000000 0.20999998 5
3818.67000000 0.16606834 5
3818.70000000 0.14150746 5
